trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
SaNGRLNL1400,5633,2,Green Line - North,"",0,500498,24873,
SaNGRLNL1500,5633,2,Green Line - North,"",0,500498,24873,
SaNGRLNL1600,5633,2,Green Line - North,"",0,500498,24873,
SaOBLBL0830,5620,2,Blue Line,"",0,500496,25068,
SaOBLBL0930,5620,2,Blue Line,"",0,500496,25068,
SaOBLBL1030,5620,2,Blue Line,"",0,500496,25068,
SaOBLBL1130,5620,2,Blue Line,"",0,500496,25068,
SaOBLBL1230,5620,2,Blue Line,"",0,500496,25068,
SaOBLBL1330,5620,2,Blue Line,"",0,500496,25068,
SaOBLBL1430,5620,2,Blue Line,"",0,500496,25068,
SaOBLBL1530,5620,2,Blue Line,"",0,500496,25068,
SaOGDLSL0900,5632,2,Gold Line -  South,"",0,500497,18557,
SaOGDLSL1000,5632,2,Gold Line -  South,"",0,500497,18557,
SaOGDLSL1100,5632,2,Gold Line -  South,"",0,500497,18557,
SaOGDLSL1200,5632,2,Gold Line -  South,"",0,500497,18557,
SaOGDLSL1300,5632,2,Gold Line -  South,"",0,500497,18557,
SaOGDLSL1400,5632,2,Gold Line -  South,"",0,500497,18557,
SaOGDLSL1500,5632,2,Gold Line -  South,"",0,500497,18557,
SaOGDLSL1600,5632,2,Gold Line -  South,"",0,500497,18557,
SaOO1O1D OB1200,6750,2,,"",0,500492,29994,
SaOO1O1D OB1320,6750,2,,"",0,500492,29994,
SaOO1O1D OB1440,6750,2,,"",0,500492,29994,
SaOO1O1D OB1600,6750,2,,"",0,500492,29994,
SaOO1O1D OB1720,6750,2,,"",0,500492,29994,
SaOO1O1D OB1840,6750,2,,"",0,500492,29994,
SaOO1O1D OB2000,6750,2,,"",0,500492,29994,
SaOO1O1D OB2120,6750,2,,"",0,500492,29994,
SaOO1O1D OB2240,6750,2,,"",0,500492,29994,
SaOO2O2 OB1240,6752,2,,"",0,500492,29998,
SaOO2O2 OB1400,6752,2,,"",0,500492,29998,
SaOO2O2 OB1520,6752,2,,"",0,500492,29998,
SaOO2O2 OB1640,6752,2,,"",0,500492,29998,
SaOO2O2 OB1800,6752,2,,"",0,500492,29998,
SaOO2O2 OB1920,6752,2,,"",0,500492,29998,
SaOO2O2 OB2040,6752,2,,"",0,500492,29998,
SaOO2O2 OB2200,6752,2,,"",0,500492,29998,
SaOO3O3 OB1200,6753,2,,"",0,500493,30000,
SaOO3O3 OB1245,6753,2,,"",0,500493,30000,
SaOO3O3 OB1330,6753,2,,"",0,500493,30000,
SaOO3O3 OB1415,6753,2,,"",0,500493,30000,
SaOO3O3 OB1500,6753,2,,"",0,500493,30000,
SaOO3O3 OB1545,6753,2,,"",0,500493,30000,
SaOO3O3 OB1630,6753,2,,"",0,500493,30000,
SaOO3O3 OB1715,6753,2,,"",0,500493,30000,
SaOO3O3 OB1800,6753,2,,"",0,500493,30000,
SaOO3O3 OB1845,6753,2,,"",0,500493,30000,
SaOO3O3 OB1930,6753,2,,"",0,500493,30000,
SaOO3O3 OB2015,6753,2,,"",0,500493,30000,
SaOO3O3 OB2100,6753,2,,"",0,500493,30000,
SaOO3O3 OB2145,6753,2,,"",0,500493,30000,
SaOO3O3 OB2230,6753,2,,"",0,500493,30000,
SaOO4O4 OB1200,6754,2,,"",0,500494,30004,
SaOO4O4 OB1305,6754,2,,"",0,500494,30004,
SaOO4O4 OB1410,6754,2,,"",0,500494,30004,
SaOO4O4 OB1515,6754,2,,"",0,500494,30004,
SaOO4O4 OB1620,6754,2,,"",0,500494,30004,
SaOO4O4 OB1725,6754,2,,"",0,500494,30004,
